,count,mean,std,min,25%,50%,75%,max,IQR,95%
East,1275.0,156842.76167607814,653.9186376325189,155448.7233,156390.579,156764.9855,157241.01415,158454.7432,850.4351500000048,158057.11761
North,1275.0,92566.38196291763,424.79405627752266,91561.04008,92203.21228,92553.96893,92879.35623,93569.02053,676.1439499999979,93330.053921
Elevation,1275.0,3340.410172549016,250.8596467911813,2703.21,3190.55,3359.16,3538.835,3827.69,348.28499999999985,3712.63
bo,1028.0,0.17478112840466908,0.19808234927018686,0.001,0.015,0.105,0.2725,1.661,0.2575,0.5755999999999999
cpy,1274.0,1.074801412872841,0.5608557306779479,0.083,0.716,0.99,1.27875,6.849,0.5627500000000001,1.995149999999999
py,1274.0,1.3452142857142846,1.9881544238216278,0.002,0.178,0.6065,1.61875,16.52,1.44075,5.551099999999992
dom,1275.0,2.8141176470588234,0.3971502512879338,1.0,3.0,3.0,3.0,3.0,0.0,3.0
