East,North,Elevation,bo,cpy,py,alte,mine,dom,ug
155841.6099,92764.87498,3307.62,0.556,1.1520000000000001,0.156,BTK,CPY,3,3
155887.3726,92511.24588999999,3510.3,0.217,0.831,1.867,BTK,CPY,3,3
155887.0518,92509.90043,3452.72,0.214,1.197,0.852,BTK,BN,3,4
155886.9243,92508.61708,3395.14,0.462,1.584,1.0070000000000001,BTK,BN,3,4
155886.9899,92507.39586,3337.55,0.282,0.941,0.324,BTK,BN,3,4
155887.3453,92506.2678,3279.96,0.308,1.3159999999999998,0.18,BTK,BN,3,4
155887.7007,92505.13975,3222.37,0.1,0.662,0.23399999999999999,POT,BN,3,4
155888.6357,92504.19805,3164.78,0.187,0.8590000000000001,0.293,BTK,BN,3,4
155944.7623,92289.92895,3510.43,0.034,0.87,0.883,BTK,CPY,3,3
155944.0898,92285.98575,3452.96,0.031,1.112,1.767,BTK,CPY,3,3
155942.9344,92281.88725,3395.53,0.037000000000000005,0.812,0.733,BTK,CPY,3,3
155941.3617,92276.41223,3336.34,0.10800000000000001,1.128,1.133,BTK,CPY,3,3
155939.4336,92272.06527,3278.98,0.063,1.109,2.985,BTK,BN,3,4
155936.4776,92264.90315,3192.93,0.196,1.276,4.187,POT,CPY,3,3
155935.0015,92259.45919,3135.54,0.261,0.521,0.35100000000000003,BTK,BN,3,4
155933.6529,92255.29857,3078.13,0.091,1.6680000000000001,1.4,BTK,CPY,3,3
156053.6406,92500.10632,3597.47,0.009000000000000001,0.848,0.348,SCL,CPY,3,2
156052.5979,92512.19437000001,3510.05,0.122,1.63,0.47100000000000003,BTK,CPY,3,3
156051.7211,92519.36644,3452.81,0.11,1.271,1.676,BTK,BN,3,4
156050.6512,92526.4764,3395.49,1.661,1.4709999999999999,0.3,BTK,BN,3,4
156050.3887,92531.36131000001,3339.91,0.147,1.089,1.014,POT,BN,3,4
156049.736,92539.84778,3251.99,0.192,1.18,0.272,BTK,BN,3,4
156050.0221,92543.66676000001,3194.54,0.057999999999999996,0.324,0.833,POT,BN,3,4
156050.5323,92548.80013999999,3137.09,0.389,1.1159999999999999,0.982,BTK,BN,3,4
156085.6525,92341.44231,3538.44,0.0,1.032,1.9140000000000001,SCL,CPY,3,2
156083.5126,92355.66222,3482.29,0.043,1.264,0.48100000000000004,SCL,CPY,3,2
156081.8556,92370.03743,3424.33,0.084,0.7170000000000001,0.46399999999999997,BTK,CPY,3,3
156110.3812,92864.9611,3683.0,0.0,0.708,2.2319999999999998,SCL,CPY,3,2
156110.0258,92866.08915,3625.42,0.0,0.0,0.0,SCL,CPY,3,2
156109.6048,92868.43843,3567.84,0.599,0.635,1.413,BTK,BN,3,4
156109.8289,92869.75284,3510.27,0.0,0.09300000000000001,4.452,BTK,BN,3,4
156110.1806,92872.35058,3452.71,0.184,0.868,2.755,POT,BN,3,4
156110.7911,92873.78922,3395.14,0.431,0.743,0.499,BTK,BN,3,4
156110.9496,92876.32485,3337.58,0.26899999999999996,0.655,0.365,BTK,BN,3,4
156111.0115,92878.82942000001,3280.01,0.222,0.972,0.415,BTK,BN,3,4
156164.6329,92625.24252999999,3625.94,0.08199999999999999,1.084,0.5820000000000001,BTK,CPY,3,3
156164.0496,92628.78198,3568.4,0.113,0.884,0.187,BTK,CPY,3,3
156163.3351,92634.76389,3451.54,0.359,0.755,0.81,BTK,BN,3,4
156162.8484,92638.3344,3392.22,0.075,1.391,0.08199999999999999,SCL,CPY,3,2
156162.4583,92641.93596,3336.48,0.055,1.188,0.068,SCL,BN,3,2
156162.81,92644.53371,3278.96,0.23399999999999999,1.169,0.306,BTK,BN,3,4
156163.5481,92647.25568999999,3221.43,0.38799999999999996,0.982,0.172,BTK,BN,3,4
156164.0273,92651.13678,3163.9,0.501,0.8370000000000001,0.278,BTK,BN,3,4
156216.6865,92393.51351,3596.97,0.002,1.162,1.8559999999999999,SCL,CPY,3,2
156216.362,92395.89385,3539.42,0.11,1.249,1.089,BTK,CPY,3,3
156216.424,92398.39842,3481.87,0.11,0.96,0.251,BTK,CPY,3,3
156216.6791,92400.96511,3424.31,0.13,1.6869999999999998,1.2919999999999998,BTK,CPY,3,3
156217.1273,92403.59391,3366.76,0.312,0.728,0.373,BTK,BN,3,4
156218.0276,92405.12573,3309.2,0.469,0.703,0.22899999999999998,BTK,BN,3,4
156219.0555,92407.94088,3251.66,0.35700000000000004,0.39899999999999997,0.14300000000000002,POT,CPY,3,3
156220.7595,92410.97344,3192.37,0.8190000000000001,0.597,0.25,BTK,BN,3,4
156223.043,92414.19235,3134.95,0.11199999999999999,0.595,0.305,POT,BN,3,4
156224.9711,92418.53932000001,3077.57,0.35,0.815,0.506,BTK,BN,3,4
156226.6405,92424.0454,3020.23,0.263,0.574,0.34700000000000003,BTK,BN,3,4
156228.503,92429.61359,2966.52,0.573,0.539,1.995,BTK,BN,3,4
156321.5325,93223.56003,3595.82,0.36,0.491,0.875,SCL,BN,3,2
156322.0464,93224.96761,3538.23,0.44799999999999995,0.945,0.982,BTK,BN,3,4
156323.816,93226.77894,3365.46,0.364,0.778,0.297,BTK,BN,3,4
156458.2125,92620.25331,3624.37,0.02,0.8859999999999999,0.34299999999999997,BTK,CPY,3,3
156457.2082,92626.14203999999,3567.03,0.069,0.9129999999999999,0.34299999999999997,BTK,CPY,3,3
156456.1072,92631.99971,3509.67,0.20199999999999999,0.799,0.496,BTK,BN,3,4
156455.1995,92637.9195,3452.28,0.10300000000000001,1.88,0.154,BTK,BN,3,4
156454.5506,92642.68018,3394.89,0.452,1.12,0.22899999999999998,BTK,BN,3,4
156453.7395,92648.63102,3337.48,0.39399999999999996,1.149,1.3459999999999999,POT,BN,3,4
156453.3804,92653.48487999999,3280.08,0.335,0.799,0.541,BTK,BN,3,4
156452.7624,92659.49784,3222.72,0.354,1.4180000000000001,0.125,BTK,BN,3,4
156451.9513,92665.44869,3165.38,0.16699999999999998,0.745,0.731,BTK,BN,3,4
156450.5915,92672.46547000001,3106.3,0.434,0.841,1.087,BTK,BN,3,4
156448.49,92680.48607,3049.11,0.048,0.746,0.98,BTK,CPY,3,3
156442.2497,93350.58084,3711.11,0.14800000000000002,0.612,0.5670000000000001,SCL,CPY,3,2
156440.106,93368.52656,3624.34,0.107,0.759,1.215,BTK,CPY,3,3
156439.2256,93379.42443,3567.65,0.326,0.551,0.672,BTK,BN,3,4
156438.3451,93390.3223,3510.85,0.19399999999999998,1.064,0.354,BTK,BN,3,4
